Rang,Institut,Sitz,Verband,Bilanzsumme gemäß Bilanzstatistik,Kundeneinlagen,Spareinlagen,Kundenkredite,Anzahl Mitarbeiter,Sparkassenstellen (einschließlich SB),links
374,Stadtsparkasse Haltern,Haltern am See,SVWL,351192,291724,121579,236199,96,4,https://www.stadtsparkasse-haltern.de/de/home.html
375,Sparkasse Grünberg,Grünberg,SGVHT,344700,243541,34653,209642,82,10,https://www.sparkasse-gruenberg.de/de/home.html
376,Sparkasse Finnentrop,Finnentrop,SVWL,334270,225333,79654,242776,78,7,https://www.sparkasse-finnentrop.de/de/home.html
377,Stadtsparkasse Versmold,Versmold,SVWL,316995,213984,89708,258691,59,4,https://www.stadtsparkasse-versmold.de/de/home.html
378,Sparkasse Geseke,Geseke Westf,SVWL,314945,215004,78672,203872,69,5,https://www.sparkasse-geseke.de/de/home.html
379,Stadtsparkasse Blomberg/Lippe,Blomberg,SVWL,306111,231394,103684,200007,63,5,https://www.sparkasse-blomberg.de/de/home.html
380,Sparkasse Laubach-Hungen,Laubach,SGVHT,265759,204916,53084,161547,69,4,https://www.spk-laubach-hungen.de/de/home.html
381,Sparkasse Battenberg,Battenberg Eder,SGVHT,218688,174253,83651,158904,50,6,https://www.sparkasse-battenberg.de/de/home.html
382,Stadtsparkasse Schwalmstadt,Schwalmstadt,SGVHT,218582,175022,43371,131275,47,3,https://www.stadtsparkasse-schwalmstadt.de/de/home.html
383,Stadtsparkasse Grebenstein,Grebenstein,SGVHT,217372,180422,86820,137989,52,4,https://www.stadtsparkasse-grebenstein.de/de/home.html
384,Stadtsparkasse Borken (Hessen),Borken,SGVHT,178546,129399,44868,117875,46,1,https://www.sskborken.de/de/home.html
385,Stadtsparkasse Bad Sachsa,Bad Sachsa,SVN,133894,105289,36622,74449,39,1,https://www.ssk-bad-sachsa.de/de/home.html
